heading,date,url
"मुख्यमंत्री हेमंत सोरेन ने बताया सरकार का फैसला, कहा- जनता चक्कर नहीं काटेगी अधिकारी उनके पास जायेंगे"," Sat, Jan 18, 2020, 6:55 AM IST ",https://www.prabhatkhabar.com/news/ranchi/chief-minister-hemant-soren-governments-decision-public-will-not-turn-around-officials-will-go/1372861.html
"झामुमो विधायक जोबा मांझी: पति को खोने के बाद राजनीति में रखा कदम, फिर बनीं हेमंत सरकार में मंत्री"," Tue, Jan 28, 2020, 2:39 PM IST ",https://www.prabhatkhabar.com/news/ranchi/joba-majhi-jharkhand-jharkhand-cabinet-expansion-hemant-soren-cabinet-joba-majhi-jmm-mla-joba-majhi/1376376.html+&cd=23&hl=en&ct=clnk&gl=in&lr=lang_hi
"मुख्यमंत्री हेमंत सोरेन ने बताया सरकार का फैसला, कहा- जनता चक्कर नहीं काटेगी अधिकारी उनके पास जायेंगे"," Sat, Jan 18, 2020, 6:55 AM IST ",https://www.prabhatkhabar.com/news/ranchi/chief-minister-hemant-soren-governments-decision-public-will-not-turn-around-officials-will-go/1372861.html&prev=search&pto=aue
पत्थलगड़ी समर्थकों द्वारा की गयी नृशंस हत्या की घटना से आहत हूं : हेमंत सोरेन," Wed, Jan 22, 2020, 1:37 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-talks-on-pathalgadi-supporters-killed-seven-villagers-in-west-singhbhum-jharkhand/1374469.html
शिक्षा व स्वास्थ्य हमारी प्राथमिकता इनसे समझौता नहीं : हेमंत सोरेन," Tue, Jan 21, 2020, 6:11 AM IST ",https://www.prabhatkhabar.com/news/ranchi/education-health-our-priority-not-compromise-hemant-soren/1373822.html
"कैबिनेट विस्तार में पांच का पेच सुलझा रहे हेमंत सोरेन, कांग्रेस कोटे में जा सकते हैं ये विभाग"," Thu, Jan 16, 2020, 2:06 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-hemant-soren-cabinet-expansion-congress-jmm-rjd/1372056.html
रांची : गार्ड ऑफ ऑनर देने की परंपरा को समाप्त करूंगा : मुख्यमंत्री," Sat, Jan 4, 2020, 6:25 AM IST ",https://www.prabhatkhabar.com/news/ranchi/ranchi-guard-of-honor-tradition-will-end-chief-minister-hemant-soren/1367671.html&prev=search&pto=aue
"CM हेमंत ने राष्‍ट्रपति कोविंद, पूर्व राष्‍ट्रपति प्रणब मुखर्जी व केजरीवाल से की मुलाकात"," Fri, Jan 3, 2020, 9:53 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-ramnath-kovind-pranab-mukherjee-arvind-kejriwal-meeting-jharkhand/1367528.html
CM हेमंत का आदेश- बलात्कार व पोक्‍सो एक्ट के लंबित मामलों का जल्‍द निपटारे के लिए बनेंगे 22 फास्ट ट्रैक कोर्ट," Mon, Jan 6, 2020, 6:31 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-chief-minister-important-orders-rape-pocso-act-pending-cases-settlement-22-fast-track-court-formation/1368619.html
"चाईबासा : अस्‍पताल में बच्‍चे को मिला केवल भात, घटना पर मुख्यमंत्री ने लिया संज्ञान, दोषी निलंबित"," Mon, Jan 6, 2020, 5:43 PM IST ",https://www.prabhatkhabar.com/news/singhbhum-west/orphan-children-hospital-food-only-rice-chief-minister-hemant-soren-cognizance-guilty-suspended/1368615.html+&cd=12&hl=en&ct=clnk&gl=in&lr=lang_hi
रवींद्रनाथ के मार्गदर्शन में नयी बुलंदियों पर पहुंचेगी विधानसभा : हेमंत सोरेन," Wed, Jan 8, 2020, 4:59 AM IST ",https://www.prabhatkhabar.com/news/ranchi/rabindranath-guidance-new-elevations-legislative-assembly-hemant-soren/1369292.html
दिल्ली में प्रधानमंत्री नरेंद्र मोदी से मिले झारखंड के मुख्यमंत्री हेमंत सोरेन," Sat, Jan 11, 2020, 1:50 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-meets-prime-minister-modi-in-new-delhi/1370585.html+&cd=17&hl=en&ct=clnk&gl=in&lr=lang_hi
"हेमंत सरकार में पहले भी मंत्री रह चुके हैं हाजी हुसैन अंसारी, जानें उनकी शख्सीयत को"," Tue, Jan 28, 2020, 2:25 PM IST ",https://www.prabhatkhabar.com/news/ranchi/haji-hussain-ansari-has-been-a-minister-before-in-hemant-soren-government-know-his-personality/1376373.html+&cd=21&hl=en&ct=clnk&gl=in&lr=lang_hi
CM हेमंत का आदेश- बलात्कार व पोक्‍सो एक्ट के लंबित मामलों का जल्‍द निपटारे के लिए बनेंगे 22 फास्ट ट्रैक कोर्ट," Mon, Jan 6, 2020, 6:31 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-chief-minister-important-orders-rape-pocso-act-pending-cases-settlement-22-fast-track-court-formation/1368619.html+&cd=15&hl=en&ct=clnk&gl=in&lr=lang_hi
शिक्षा व स्वास्थ्य हमारी प्राथमिकता इनसे समझौता नहीं : हेमंत सोरेन," Tue, Jan 21, 2020, 6:11 AM IST ",https://www.prabhatkhabar.com/news/ranchi/education-health-our-priority-not-compromise-hemant-soren/1373822.html&prev=search&pto=aue
"झामुमो विधायक जोबा मांझी: पति को खोने के बाद राजनीति में रखा कदम, फिर बनीं हेमंत सरकार में मंत्री"," Tue, Jan 28, 2020, 2:39 PM IST ",https://www.prabhatkhabar.com/news/ranchi/joba-majhi-jharkhand-jharkhand-cabinet-expansion-hemant-soren-cabinet-joba-majhi-jmm-mla-joba-majhi/1376376.html
"पत्‍थलगड़ी नरसंहार : मृतकों के परिजन से मिले सीएम हेमंत, बोले- नहीं बचेंगे हत्‍यारे"," Thu, Jan 23, 2020, 6:40 PM IST ",https://www.prabhatkhabar.com/news/ranchi/west-singhbhum-chaibasa-pathalgadi-massacre-relatives-meet-chief-minister-hemant-soren/1374998.html&prev=search&pto=aue
मुख्यमंत्री हेमंत सोरेन ने शिबू सोरेन और बाबूलाल मरांडी को दी जन्मदिन की शुभकामनाएं," Sat, Jan 11, 2020, 3:59 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-wishes-happy-birthday-to-shibu-soren-and-babulal-marandi/1370598.html
आजीवन कारावास की सजा काट रहे 139 कैदी होंगे रिहा," Sun, Jan 19, 2020, 1:08 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-cm-hemant-soren-prisoner-release-jail-mandal-kara/1373143.html&prev=search&pto=aue
"पश्चिमी सिंहभूम में सामूहिक नरसंहार मामला : मुख्यमंत्री हेमंत सोरेन ने कहा, घटना दुर्भाग्यपूर्ण, नहीं बख्शेंगे दोषियों को"," Thu, Jan 23, 2020, 6:50 AM IST ",https://www.prabhatkhabar.com/news/ranchi/west-singhbhum-mass-massacre-chief-minister-hemant-soren-incident-unfortunate-will-not-spare-the-culprits/1374783.html
"VIDEO : झारखंड में अब कोई भूखा नहीं मरेगा, हम द्वेष की राजनीति नहीं करेंगे, बोले हेमंत सोरेन"," Thu, Jan 9, 2020, 5:52 PM IST ",https://www.prabhatkhabar.com/news/ranchi/no-one-will-die-of-hunger-in-jharkhand-says-hemant-soren-in-jharkhand-assembly/1369994.html&prev=search&pto=aue
"CM हेमंत ने राष्‍ट्रपति कोविंद, पूर्व राष्‍ट्रपति प्रणब मुखर्जी व केजरीवाल से की मुलाकात"," Fri, Jan 3, 2020, 9:53 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-ramnath-kovind-pranab-mukherjee-arvind-kejriwal-meeting-jharkhand/1367528.html&prev=search&pto=aue
"झामुमो विधायक जोबा मांझी: पति को खोने के बाद राजनीति में रखा कदम, फिर बनीं हेमंत सरकार में मंत्री"," Tue, Jan 28, 2020, 2:39 PM IST ",https://www.prabhatkhabar.com/news/ranchi/joba-majhi-jharkhand-jharkhand-cabinet-expansion-hemant-soren-cabinet-joba-majhi-jmm-mla-joba-majhi/1376376.html&prev=search&pto=aue
"पश्चिमी सिंहभूम में सामूहिक नरसंहार मामला : मुख्यमंत्री हेमंत सोरेन ने कहा, घटना दुर्भाग्यपूर्ण, नहीं बख्शेंगे दोषियों को"," Thu, Jan 23, 2020, 6:50 AM IST ",https://www.prabhatkhabar.com/news/ranchi/west-singhbhum-mass-massacre-chief-minister-hemant-soren-incident-unfortunate-will-not-spare-the-culprits/1374783.html&prev=search&pto=aue
"हेमंत सरकार में पहले भी मंत्री रह चुके हैं हाजी हुसैन अंसारी, जानें उनकी शख्सीयत को"," Tue, Jan 28, 2020, 2:25 PM IST ",https://www.prabhatkhabar.com/news/ranchi/haji-hussain-ansari-has-been-a-minister-before-in-hemant-soren-government-know-his-personality/1376373.html&prev=search&pto=aue
"हेमंत ने मांगी ट्राइबल यूनिवर्सिटी पीएम बोले, राज्य का रखेंगे ध्यान"," Sun, Jan 12, 2020, 2:59 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-delhi-hemant-soren-tribal-university-pm-modi/1370757.html&prev=search&pto=aue
"मुख्यमंत्री हेमंत सोरेन ने सपरिवार रजरप्पा मंदिर में की पूजा-अर्चना, राज्‍यवासियों के लिए मांगी समृद्धि"," Thu, Jan 2, 2020, 8:10 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-with-family-rajarappa-temple-worship-statesman-prosperity-wish-jharkhand/1367045.html+&cd=6&hl=en&ct=clnk&gl=in&lr=lang_hi
"VIDEO : झारखंड में अब कोई भूखा नहीं मरेगा, हम द्वेष की राजनीति नहीं करेंगे, बोले हेमंत सोरेन"," Thu, Jan 9, 2020, 5:52 PM IST ",https://www.prabhatkhabar.com/news/ranchi/no-one-will-die-of-hunger-in-jharkhand-says-hemant-soren-in-jharkhand-assembly/1369994.html
शिक्षा व स्वास्थ्य हमारी प्राथमिकता इनसे समझौता नहीं : हेमंत सोरेन," Tue, Jan 21, 2020, 6:11 AM IST ",https://www.prabhatkhabar.com/news/ranchi/education-health-our-priority-not-compromise-hemant-soren/1373822.html+&cd=19&hl=en&ct=clnk&gl=in&lr=lang_hi
सूचना आयुक्तों की नियुक्ति की प्रक्रिया जल्द शुरू की जायेगी : हेमंत सोरेन," Thu, Jan 2, 2020, 10:30 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-chief-minister-chief-information-commissioner-himanshu-shekhar-chaudhary-meet-ranchi-jharkhand/1367063.html
"पत्‍थलगड़ी नरसंहार : मृतकों के परिजन से मिले सीएम हेमंत, बोले- नहीं बचेंगे हत्‍यारे"," Thu, Jan 23, 2020, 6:40 PM IST ",https://www.prabhatkhabar.com/news/ranchi/west-singhbhum-chaibasa-pathalgadi-massacre-relatives-meet-chief-minister-hemant-soren/1374998.html+&cd=9&hl=en&ct=clnk&gl=in&lr=lang_hi
"चाईबासा : अस्‍पताल में बच्‍चे को मिला केवल भात, घटना पर मुख्यमंत्री ने लिया संज्ञान, दोषी निलंबित"," Mon, Jan 6, 2020, 5:43 PM IST ",https://www.prabhatkhabar.com/news/singhbhum-west/orphan-children-hospital-food-only-rice-chief-minister-hemant-soren-cognizance-guilty-suspended/1368615.html
"हेमंत ने मांगी ट्राइबल यूनिवर्सिटी पीएम बोले, राज्य का रखेंगे ध्यान"," Sun, Jan 12, 2020, 2:59 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-delhi-hemant-soren-tribal-university-pm-modi/1370757.html+&cd=20&hl=en&ct=clnk&gl=in&lr=lang_hi
CM हेमंत का आदेश- बलात्कार व पोक्‍सो एक्ट के लंबित मामलों का जल्‍द निपटारे के लिए बनेंगे 22 फास्ट ट्रैक कोर्ट," Mon, Jan 6, 2020, 6:31 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-chief-minister-important-orders-rape-pocso-act-pending-cases-settlement-22-fast-track-court-formation/1368619.html&prev=search&pto=aue
"CM हेमंत ने राष्‍ट्रपति कोविंद, पूर्व राष्‍ट्रपति प्रणब मुखर्जी व केजरीवाल से की मुलाकात"," Fri, Jan 3, 2020, 9:53 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-ramnath-kovind-pranab-mukherjee-arvind-kejriwal-meeting-jharkhand/1367528.html+&cd=8&hl=en&ct=clnk&gl=in&lr=lang_hi
11 जनवरी को प्रधानमंत्री नरेंद्र मोदी से मिलेंगे झारखंड के मुख्यमंत्री हेमंत सोरेन," Thu, Jan 9, 2020, 2:57 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-to-meet-prime-minister-narendra-modi-on-january-11/1369965.html
सूचना आयुक्तों की नियुक्ति की प्रक्रिया जल्द शुरू की जायेगी : हेमंत सोरेन," Thu, Jan 2, 2020, 10:30 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-chief-minister-chief-information-commissioner-himanshu-shekhar-chaudhary-meet-ranchi-jharkhand/1367063.html+&cd=13&hl=en&ct=clnk&gl=in&lr=lang_hi
"कैबिनेट विस्तार में पांच का पेच सुलझा रहे हेमंत सोरेन, कांग्रेस कोटे में जा सकते हैं ये विभाग"," Thu, Jan 16, 2020, 2:06 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-hemant-soren-cabinet-expansion-congress-jmm-rjd/1372056.html+&cd=5&hl=en&ct=clnk&gl=in&lr=lang_hi
दिल्ली में प्रधानमंत्री नरेंद्र मोदी से मिले झारखंड के मुख्यमंत्री हेमंत सोरेन," Sat, Jan 11, 2020, 1:50 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-meets-prime-minister-modi-in-new-delhi/1370585.html&prev=search&pto=aue
"VIDEO : झारखंड में अब कोई भूखा नहीं मरेगा, हम द्वेष की राजनीति नहीं करेंगे, बोले हेमंत सोरेन"," Thu, Jan 9, 2020, 5:52 PM IST ",https://www.prabhatkhabar.com/news/ranchi/no-one-will-die-of-hunger-in-jharkhand-says-hemant-soren-in-jharkhand-assembly/1369994.html+&cd=2&hl=en&ct=clnk&gl=in&lr=lang_hi
"मुख्यमंत्री हेमंत सोरेन ने बताया सरकार का फैसला, कहा- जनता चक्कर नहीं काटेगी अधिकारी उनके पास जायेंगे"," Sat, Jan 18, 2020, 6:55 AM IST ",https://www.prabhatkhabar.com/news/ranchi/chief-minister-hemant-soren-governments-decision-public-will-not-turn-around-officials-will-go/1372861.html+&cd=4&hl=en&ct=clnk&gl=in&lr=lang_hi
मुख्यमंत्री हेमंत सोरेन ने शिबू सोरेन और बाबूलाल मरांडी को दी जन्मदिन की शुभकामनाएं," Sat, Jan 11, 2020, 3:59 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-wishes-happy-birthday-to-shibu-soren-and-babulal-marandi/1370598.html&prev=search&pto=aue
"पत्‍थलगड़ी नरसंहार : मृतकों के परिजन से मिले सीएम हेमंत, बोले- नहीं बचेंगे हत्‍यारे"," Thu, Jan 23, 2020, 6:40 PM IST ",https://www.prabhatkhabar.com/news/ranchi/west-singhbhum-chaibasa-pathalgadi-massacre-relatives-meet-chief-minister-hemant-soren/1374998.html
"रविंद्रनाथ महतो को CM ने दी बधाई, कहा- इनकी सादगी और कार्यकुशलता सबको करती है प्रभावित"," Tue, Jan 7, 2020, 4:51 PM IST ",https://www.prabhatkhabar.com/news/ranchi/rabindranath-mahato-jharkhand-legislative-assembly-speaker-chief-minister-hemant-soren-congratulations-ranchi-jharkhand/1369095.html+&cd=18&hl=en&ct=clnk&gl=in&lr=lang_hi
पत्थलगड़ी समर्थकों द्वारा की गयी नृशंस हत्या की घटना से आहत हूं : हेमंत सोरेन," Wed, Jan 22, 2020, 1:37 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-talks-on-pathalgadi-supporters-killed-seven-villagers-in-west-singhbhum-jharkhand/1374469.html&prev=search&pto=aue
"हेमंत ने मांगी ट्राइबल यूनिवर्सिटी पीएम बोले, राज्य का रखेंगे ध्यान"," Sun, Jan 12, 2020, 2:59 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-delhi-hemant-soren-tribal-university-pm-modi/1370757.html
"रविंद्रनाथ महतो को CM ने दी बधाई, कहा- इनकी सादगी और कार्यकुशलता सबको करती है प्रभावित"," Tue, Jan 7, 2020, 4:51 PM IST ",https://www.prabhatkhabar.com/news/ranchi/rabindranath-mahato-jharkhand-legislative-assembly-speaker-chief-minister-hemant-soren-congratulations-ranchi-jharkhand/1369095.html
रवींद्रनाथ के मार्गदर्शन में नयी बुलंदियों पर पहुंचेगी विधानसभा : हेमंत सोरेन," Wed, Jan 8, 2020, 4:59 AM IST ",https://www.prabhatkhabar.com/news/ranchi/rabindranath-guidance-new-elevations-legislative-assembly-hemant-soren/1369292.html+&cd=16&hl=en&ct=clnk&gl=in&lr=lang_hi
"मुख्यमंत्री हेमंत सोरेन ने सपरिवार रजरप्पा मंदिर में की पूजा-अर्चना, राज्‍यवासियों के लिए मांगी समृद्धि"," Thu, Jan 2, 2020, 8:10 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-with-family-rajarappa-temple-worship-statesman-prosperity-wish-jharkhand/1367045.html&prev=search&pto=aue
मुख्यमंत्री हेमंत सोरेन ने शिबू सोरेन और बाबूलाल मरांडी को दी जन्मदिन की शुभकामनाएं," Sat, Jan 11, 2020, 3:59 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-wishes-happy-birthday-to-shibu-soren-and-babulal-marandi/1370598.html+&cd=7&hl=en&ct=clnk&gl=in&lr=lang_hi
रांची : गार्ड ऑफ ऑनर देने की परंपरा को समाप्त करूंगा : मुख्यमंत्री," Sat, Jan 4, 2020, 6:25 AM IST ",https://www.prabhatkhabar.com/news/ranchi/ranchi-guard-of-honor-tradition-will-end-chief-minister-hemant-soren/1367671.html+&cd=14&hl=en&ct=clnk&gl=in&lr=lang_hi
"मुख्यमंत्री हेमंत सोरेन ने सपरिवार रजरप्पा मंदिर में की पूजा-अर्चना, राज्‍यवासियों के लिए मांगी समृद्धि"," Thu, Jan 2, 2020, 8:10 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-with-family-rajarappa-temple-worship-statesman-prosperity-wish-jharkhand/1367045.html
11 जनवरी को प्रधानमंत्री नरेंद्र मोदी से मिलेंगे झारखंड के मुख्यमंत्री हेमंत सोरेन," Thu, Jan 9, 2020, 2:57 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-to-meet-prime-minister-narendra-modi-on-january-11/1369965.html+&cd=10&hl=en&ct=clnk&gl=in&lr=lang_hi
11 जनवरी को प्रधानमंत्री नरेंद्र मोदी से मिलेंगे झारखंड के मुख्यमंत्री हेमंत सोरेन," Thu, Jan 9, 2020, 2:57 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-to-meet-prime-minister-narendra-modi-on-january-11/1369965.html&prev=search&pto=aue
सूचना आयुक्तों की नियुक्ति की प्रक्रिया जल्द शुरू की जायेगी : हेमंत सोरेन," Thu, Jan 2, 2020, 10:30 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-chief-minister-chief-information-commissioner-himanshu-shekhar-chaudhary-meet-ranchi-jharkhand/1367063.html&prev=search&pto=aue
दिल्ली में प्रधानमंत्री नरेंद्र मोदी से मिले झारखंड के मुख्यमंत्री हेमंत सोरेन," Sat, Jan 11, 2020, 1:50 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-meets-prime-minister-modi-in-new-delhi/1370585.html
"हेमंत सरकार में पहले भी मंत्री रह चुके हैं हाजी हुसैन अंसारी, जानें उनकी शख्सीयत को"," Tue, Jan 28, 2020, 2:25 PM IST ",https://www.prabhatkhabar.com/news/ranchi/haji-hussain-ansari-has-been-a-minister-before-in-hemant-soren-government-know-his-personality/1376373.html
रांची : गार्ड ऑफ ऑनर देने की परंपरा को समाप्त करूंगा : मुख्यमंत्री," Sat, Jan 4, 2020, 6:25 AM IST ",https://www.prabhatkhabar.com/news/ranchi/ranchi-guard-of-honor-tradition-will-end-chief-minister-hemant-soren/1367671.html
आजीवन कारावास की सजा काट रहे 139 कैदी होंगे रिहा," Sun, Jan 19, 2020, 1:08 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-cm-hemant-soren-prisoner-release-jail-mandal-kara/1373143.html+&cd=22&hl=en&ct=clnk&gl=in&lr=lang_hi
रवींद्रनाथ के मार्गदर्शन में नयी बुलंदियों पर पहुंचेगी विधानसभा : हेमंत सोरेन," Wed, Jan 8, 2020, 4:59 AM IST ",https://www.prabhatkhabar.com/news/ranchi/rabindranath-guidance-new-elevations-legislative-assembly-hemant-soren/1369292.html&prev=search&pto=aue
"रविंद्रनाथ महतो को CM ने दी बधाई, कहा- इनकी सादगी और कार्यकुशलता सबको करती है प्रभावित"," Tue, Jan 7, 2020, 4:51 PM IST ",https://www.prabhatkhabar.com/news/ranchi/rabindranath-mahato-jharkhand-legislative-assembly-speaker-chief-minister-hemant-soren-congratulations-ranchi-jharkhand/1369095.html&prev=search&pto=aue
आजीवन कारावास की सजा काट रहे 139 कैदी होंगे रिहा," Sun, Jan 19, 2020, 1:08 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-cm-hemant-soren-prisoner-release-jail-mandal-kara/1373143.html
"कैबिनेट विस्तार में पांच का पेच सुलझा रहे हेमंत सोरेन, कांग्रेस कोटे में जा सकते हैं ये विभाग"," Thu, Jan 16, 2020, 2:06 AM IST ",https://www.prabhatkhabar.com/news/ranchi/jharkhand-ranchi-hemant-soren-cabinet-expansion-congress-jmm-rjd/1372056.html&prev=search&pto=aue
पत्थलगड़ी समर्थकों द्वारा की गयी नृशंस हत्या की घटना से आहत हूं : हेमंत सोरेन," Wed, Jan 22, 2020, 1:37 PM IST ",https://www.prabhatkhabar.com/news/ranchi/hemant-soren-talks-on-pathalgadi-supporters-killed-seven-villagers-in-west-singhbhum-jharkhand/1374469.html+&cd=11&hl=en&ct=clnk&gl=in&lr=lang_hi
"चाईबासा : अस्‍पताल में बच्‍चे को मिला केवल भात, घटना पर मुख्यमंत्री ने लिया संज्ञान, दोषी निलंबित"," Mon, Jan 6, 2020, 5:43 PM IST ",https://www.prabhatkhabar.com/news/singhbhum-west/orphan-children-hospital-food-only-rice-chief-minister-hemant-soren-cognizance-guilty-suspended/1368615.html&prev=search&pto=aue
"पश्चिमी सिंहभूम में सामूहिक नरसंहार मामला : मुख्यमंत्री हेमंत सोरेन ने कहा, घटना दुर्भाग्यपूर्ण, नहीं बख्शेंगे दोषियों को"," Thu, Jan 23, 2020, 6:50 AM IST ",https://www.prabhatkhabar.com/news/ranchi/west-singhbhum-mass-massacre-chief-minister-hemant-soren-incident-unfortunate-will-not-spare-the-culprits/1374783.html+&cd=3&hl=en&ct=clnk&gl=in&lr=lang_hi
